,formula,A1,A1_ratio,nA1,A2,A2_ratio,nA2,B1,B1_ratio,B2,B2_ratio,X,X_ratio,Ra,Rb,Rx,nA
116,Sm1Sn0.8Ge0.2O3,Sm,1,3,Sm,0,3,Sn,0.8,Ge,0.19999999999999996,O,3,1.24,0.6579999999999999,1.4,3
117,Sm1Hf0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Hf,0.19999999999999996,O,3,1.24,0.694,1.4,3
118,Sm1Ti0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Ti,0.19999999999999996,O,3,1.24,0.6729999999999999,1.4,3
119,Sm1Ga0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Ga,0.19999999999999996,O,3,1.24,0.6759999999999999,1.4,3
120,Sm1Si0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Si,0.19999999999999996,O,3,1.24,0.6319999999999999,1.4,3
121,Sm1Ta0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Ta,0.19999999999999996,O,3,1.24,0.6799999999999999,1.4,3
122,Sm1Al0.2Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Al,0.19999999999999996,O,3,1.24,0.6589999999999999,1.4,3
123,Sm1Sn0.8Bi0.2O3,Sm,1,3,Sm,0,3,Sn,0.8,Bi,0.19999999999999996,O,3,1.24,0.7579999999999999,1.4,3
124,Sm1Sn0.8B0.2O3,Sm,1,3,Sm,0,3,Sn,0.8,B,0.19999999999999996,O,3,1.24,0.6059999999999999,1.4,3
125,Sm1Sn0.8Sb0.2O3,Sm,1,3,Sm,0,3,Sn,0.8,Sb,0.19999999999999996,O,3,1.24,0.6719999999999999,1.4,3
126,Ce0.2Sm1Sn0.8O3,Sm,1,3,Sm,0,3,Sn,0.8,Ce,0.19999999999999996,O,3,1.24,0.7259999999999999,1.4,3
127,Sm1Zr0.8Cr0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Cr,0.19999999999999996,O,3,1.24,0.699,1.4,3
128,Sm1Zr0.8Co0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Co,0.19999999999999996,O,3,1.24,0.698,1.4,3
129,Sm1Zr0.8Fe0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Fe,0.19999999999999996,O,3,1.24,0.705,1.4,3
130,Sm1Zr0.8Nb0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Nb,0.19999999999999996,O,3,1.24,0.704,1.4,3
131,Sm1Zr0.8In0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,In,0.19999999999999996,O,3,1.24,0.736,1.4,3
132,Sm1Er0.2Zr0.8O3,Sm,1,3,Sm,0,3,Zr,0.8,Er,0.19999999999999996,O,3,1.24,0.7539999999999999,1.4,3
133,Sm1Zr0.8Sn0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Sn,0.19999999999999996,O,3,1.24,0.714,1.4,3
134,Sm1Zr0.8Be0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Be,0.19999999999999996,O,3,1.24,0.6659999999999999,1.4,3
135,Sm1Zr0.8Ge0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Ge,0.19999999999999996,O,3,1.24,0.6819999999999999,1.4,3
136,Sm1Hf0.2Zr0.8O3,Sm,1,3,Sm,0,3,Zr,0.8,Hf,0.19999999999999996,O,3,1.24,0.718,1.4,3
137,Sm1Zr0.8Ti0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Ti,0.19999999999999996,O,3,1.24,0.697,1.4,3
138,Sm1Zr0.8Ga0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Ga,0.19999999999999996,O,3,1.24,0.7,1.4,3
139,Sm1Zr0.8Si0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Si,0.19999999999999996,O,3,1.24,0.6559999999999999,1.4,3
140,Sm1Zr0.8Ta0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Ta,0.19999999999999996,O,3,1.24,0.704,1.4,3
141,Sm1Zr0.8Al0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Al,0.19999999999999996,O,3,1.24,0.6829999999999999,1.4,3
142,Sm1Zr0.8Bi0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Bi,0.19999999999999996,O,3,1.24,0.7819999999999999,1.4,3
143,Sm1Zr0.8B0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,B,0.19999999999999996,O,3,1.24,0.6299999999999999,1.4,3
144,Sm1Zr0.8Sb0.2O3,Sm,1,3,Sm,0,3,Zr,0.8,Sb,0.19999999999999996,O,3,1.24,0.696,1.4,3
145,Ce0.2Sm1Zr0.8O3,Sm,1,3,Sm,0,3,Zr,0.8,Ce,0.19999999999999996,O,3,1.24,0.7499999999999999,1.4,3
146,Sm1Be0.8Cr0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Cr,0.19999999999999996,O,3,1.24,0.483,1.4,3
147,Sm1Be0.8Co0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Co,0.19999999999999996,O,3,1.24,0.482,1.4,3
148,Sm1Be0.8Fe0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Fe,0.19999999999999996,O,3,1.24,0.489,1.4,3
149,Sm1Be0.8Nb0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Nb,0.19999999999999996,O,3,1.24,0.488,1.4,3
150,Sm1Be0.8In0.2O3,Sm,1,3,Sm,0,3,Be,0.8,In,0.19999999999999996,O,3,1.24,0.52,1.4,3
151,Sm1Er0.2Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Er,0.19999999999999996,O,3,1.24,0.538,1.4,3
152,Sm1Be0.8Sn0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Sn,0.19999999999999996,O,3,1.24,0.498,1.4,3
153,Sm1Zr0.2Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Zr,0.19999999999999996,O,3,1.24,0.504,1.4,3
154,Sm1Be0.8Ge0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Ge,0.19999999999999996,O,3,1.24,0.466,1.4,3
155,Sm1Hf0.2Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Hf,0.19999999999999996,O,3,1.24,0.502,1.4,3
156,Sm1Ti0.2Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Ti,0.19999999999999996,O,3,1.24,0.481,1.4,3
157,Sm1Be0.8Ga0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Ga,0.19999999999999996,O,3,1.24,0.484,1.4,3
158,Sm1Be0.8Si0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Si,0.19999999999999996,O,3,1.24,0.44000000000000006,1.4,3
159,Sm1Ta0.2Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Ta,0.19999999999999996,O,3,1.24,0.488,1.4,3
160,Sm1Be0.8Al0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Al,0.19999999999999996,O,3,1.24,0.467,1.4,3
161,Sm1Be0.8Bi0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Bi,0.19999999999999996,O,3,1.24,0.5660000000000001,1.4,3
162,Sm1Be0.8B0.2O3,Sm,1,3,Sm,0,3,Be,0.8,B,0.19999999999999996,O,3,1.24,0.41400000000000003,1.4,3
163,Sm1Be0.8Sb0.2O3,Sm,1,3,Sm,0,3,Be,0.8,Sb,0.19999999999999996,O,3,1.24,0.48,1.4,3
164,Ce0.2Sm1Be0.8O3,Sm,1,3,Sm,0,3,Be,0.8,Ce,0.19999999999999996,O,3,1.24,0.534,1.4,3
165,Sm1Cr0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Cr,0.19999999999999996,O,3,1.24,0.547,1.4,3
